OBS_ID,YR,TRTMT,ALL,MDS1,MDS2,MDS3
C1_1,I,C,CI,-0.483608386,0.114537584,0.061844314
C11_1,I,C,CI,-0.109177149,-0.346088811,0.318847706
C11_2,II,C,CII,0.146535922,-1.680527941,0.205660098
C11_3,III,C,CIII,-0.157276827,0.097690862,1.376220759
C12_1,I,C,CI,-0.027438614,0.250882772,0.176674604
C12_2,II,C,CII,-0.015503994,-0.052924462,0.159419786
C12_3,III,C,CIII,0.196387943,0.299544058,0.003860259
C2_1,I,C,CI,-0.777865145,0.151493549,0.099552994
C2_2,II,C,CII,-0.789060225,-0.06712648,-0.113331322
C2_3,III,C,CIII,-1.095621382,0.635976375,0.112590072
C3_1,I,C,CI,-0.533429276,-0.092123498,-0.241785019
C3_2,II,C,CII,-0.846667861,0.351440226,-0.425619734
C3_3,III,C,CIII,-0.557710208,0.188278872,-0.11792034
C4_1,I,C,CI,1.346914849,0.809801808,0.373576653
C4_2,II,C,CII,1.165688107,0.708776343,-0.16853035
C4_3,III,C,CIII,1.103515831,0.814424303,0.116504757
C5_1,I,C,CI,-0.072446445,0.067040896,-0.094894299
C5_2,II,C,CII,-0.864148929,1.567474513,0.809780522
C5_3,III,C,CIII,-0.581564236,0.599292808,-0.02510535
C6_1,I,C,CI,-0.547953858,0.284535211,0.007534839
C6_2,II,C,CII,-0.553169681,-0.485632985,-0.162747318
C6_3,III,C,CIII,-0.601383038,0.126680857,0.640598567
C7_1,I,C,CI,0.255317457,0.327520128,0.015469197
C7_2,II,C,CII,-0.031002302,0.780578064,-0.721090565
C7_3,III,C,CIII,0.199733277,0.761622737,-0.701299546
C8_1,I,C,CI,0.667626828,-0.929801145,0.33891517
C8_2,II,C,CII,-0.426680029,-0.780588896,0.20406886
C9_1,I,C,CI,0.082726018,-0.146444834,0.526944745
C9_2,II,C,CII,-0.274113338,-1.497468726,-0.277396541
C9_3,III,C,CIII,0.109720001,-0.804921013,0.81912585
T1_1,I,T,TI,-0.071700568,-0.441848971,-0.367453103
T11_1,I,T,TI,0.137877065,-1.082865192,-0.493414474
T11_2,II,T,TII,0.192297168,-0.800875488,0.198165989
T11_3,III,T,TIII,0.342088609,-0.592635458,1.190710337
T12_1,I,T,TI,0.717057695,0.083924333,-0.248334888
T12_2,II,T,TII,0.413106664,0.810778117,0.105193177
T12_3,III,T,TIII,0.046872302,0.567114949,-0.023497466
T2_1,I,T,TI,-0.299648355,-0.61041718,-0.257941571
T2_2,II,T,TII,-0.622041575,-0.12707045,0.174661169
T2_3,III,T,TIII,-0.688796848,0.105628242,0.09227324
T3_1,I,T,TI,-0.818938189,-0.213149297,-0.558933824
T3_2,II,T,TII,-1.190338584,0.366572832,-0.59006907
T3_3,III,T,TIII,-0.820830159,0.048878405,-0.08218325
T4_1,I,T,TI,1.757541464,0.131298352,0.049555359
T4_2,II,T,TII,1.084658004,0.126801351,-0.282849539
T4_3,III,T,TIII,1.336160162,0.758849455,-0.073487435
T5_1,I,T,TI,0.384602196,-0.660487393,-0.86182395
T5_2,II,T,TII,0.090759242,0.067094622,-0.930327342
T5_3,III,T,TIII,-0.374785291,0.838958459,-0.013548688
T6_1,I,T,TI,0.057036724,-0.611182105,-0.197469589
T6_2,II,T,TII,0.175613562,-0.13743426,-0.954160968
T6_3,III,T,TIII,0.181142174,0.509219827,0.409156746
T7_1,I,T,TI,0.257604217,0.204526936,0.053031502
T7_2,II,T,TII,0.271879868,0.245288855,-0.866915963
T7_3,III,T,TIII,0.235745614,0.504067489,-0.186056587
T8_1,I,T,TI,0.930209796,-1.040675729,-0.147995756
T8_2,II,T,TII,0.331376649,-0.213068906,0.346469915
T9_1,I,T,TI,0.274710373,-0.222454785,-0.088385191
T9_2,II,T,TII,-0.178699465,-0.849267817,0.293879764
T9_3,III,T,TIII,-0.080905826,0.18048763,0.994282089